scenario,month,new_customers,active_customers,churned_customers,arpu,revenue,payment_fees,variable_infrastructure,fixed_infrastructure,marketing_cost,sales_cost,development_cost,support_cost,other_cost,total_cost,gross_profit,operating_profit,cumulative_cash_flow
optimistic,15,10,72,1,399,28728,535.1,158.4,250,5500,2600,0,864,500,10407.5,27784.5,18320.5,17068.25
optimistic,16,10,81,1,399,32319,601.99,178.2,250,5500,2600,0,972,500,10602.19,31288.81,21716.81,38785.06
optimistic,17,10,89,2,399,35511,661.45,195.8,250,5500,2600,0,1068,500,10775.25,34403.75,24735.75,63520.81
optimistic,18,10,97,2,399,38703,720.9,213.4,250,5500,2600,0,1164,500,10948.3,37518.7,27754.7,91275.5
optimistic,19,10,105,2,399,41895,780.36,231.0,250,5500,2600,0,1260,500,11121.36,40633.64,30773.64,122049.14
optimistic,20,10,113,2,399,45087,839.82,248.6,250,5500,2600,0,1356,500,11294.42,43748.58,33792.58,155841.73
optimistic,21,10,121,2,399,48279,899.27,266.2,250,5500,2600,0,1452,500,11467.47,46863.53,36811.53,192653.26
optimistic,22,10,129,2,399,51471,958.73,283.8,250,5500,2600,0,1548,500,11640.53,49978.47,39830.47,232483.73
optimistic,23,10,136,3,399,54264,1010.75,299.2,250,5500,2600,0,1632,500,11791.95,52704.05,42472.05,274955.78
optimistic,24,10,143,3,399,57057,1062.78,314.6,250,5500,2600,0,1716,500,11943.38,55429.62,45113.62,320069.4
optimistic,25,15,155,3,399,61845,1151.96,341.0,250,8000,3900,0,1860,500,16002.96,60102.04,45842.04,365911.44
optimistic,26,15,167,3,399,66633,1241.14,367.4,250,8000,3900,0,2004,500,16262.54,64774.46,50370.46,416281.9
optimistic,27,15,179,3,399,71421,1330.33,393.8,250,8000,3900,0,2148,500,16522.13,69446.87,54898.87,471180.77
optimistic,28,15,190,4,399,75810,1412.08,418.0,250,8000,3900,0,2280,500,16760.08,73729.92,59049.92,530230.69
optimistic,29,15,201,4,399,80199,1493.83,442.2,250,8000,3900,0,2412,500,16998.03,78012.97,63200.97,593431.66
optimistic,30,15,212,4,399,84588,1575.58,466.4,250,8000,3900,0,2544,500,17235.98,82296.02,67352.02,660783.67
optimistic,31,15,223,4,399,88977,1657.34,490.6,250,8000,3900,0,2676,500,17473.94,86579.06,71503.06,732286.74
optimistic,32,15,234,4,399,93366,1739.09,514.8,250,8000,3900,0,2808,500,17711.89,90862.11,75654.11,807940.85
optimistic,33,15,244,5,399,97356,1813.41,536.8,250,8000,3900,0,2928,500,17928.21,94755.79,79427.79,887368.64
optimistic,34,15,254,5,399,101346,1887.73,558.8,250,8000,3900,0,3048,500,18144.53,98649.47,83201.47,970570.11
optimistic,35,15,264,5,399,105336,1962.05,580.8,250,8000,3900,0,3168,500,18360.85,102543.15,86975.15,1057545.26
optimistic,36,15,274,5,399,109326,2036.37,602.8,250,8000,3900,0,3288,500,18577.17,106436.83,90748.83,1148294.1
